LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,FlagCodes
AUT,HHEXP,TOT,MLN_USD,A,2011,194567.048510333,
AUT,HHEXP,TOT,MLN_USD,A,2012,199057.684931164,
AUT,HHEXP,TOT,MLN_USD,A,2013,205604.388327587,
AUT,HHEXP,TOT,MLN_USD,A,2014,210370.528936849,
AUT,HHEXP,TOT,MLN_USD,A,2015,213261.769245235,
AUT,HHEXP,TOT,MLN_USD,A,2016,224616.247193907,
AUT,HHEXP,TOT,MLN_USD,A,2017,231585.925691891,
AUT,HHEXP,TOT,MLN_USD,A,2018,241762.643747646,
AUT,HHEXP,TOT,MLN_USD,A,2019,250651.747661318,
AUT,HHEXP,TOT,MLN_USD,A,2020,235698.068175331,
AUT,HHEXP,TOT,MLN_USD,A,2021,249667.684990529,
BEL,HHEXP,TOT,MLN_USD,A,2011,220029.938669796,
BEL,HHEXP,TOT,MLN_USD,A,2012,227142.109252114,
BEL,HHEXP,TOT,MLN_USD,A,2013,236572.936466063,
BEL,HHEXP,TOT,MLN_USD,A,2014,242820.828952902,
BEL,HHEXP,TOT,MLN_USD,A,2015,247220.120938205,
BEL,HHEXP,TOT,MLN_USD,A,2016,258303.999159179,
BEL,HHEXP,TOT,MLN_USD,A,2017,267251.809930942,
BEL,HHEXP,TOT,MLN_USD,A,2018,281506.127952642,
BEL,HHEXP,TOT,MLN_USD,A,2019,296381.036819848,
BEL,HHEXP,TOT,MLN_USD,A,2020,276242.081968597,
BEL,HHEXP,TOT,MLN_USD,A,2021,296816.051103821,
CZE,HHEXP,TOT,MLN_USD,A,2011,137035.516830306,
CZE,HHEXP,TOT,MLN_USD,A,2012,137927.776913147,
CZE,HHEXP,TOT,MLN_USD,A,2013,144617.456547796,
CZE,HHEXP,TOT,MLN_USD,A,2014,150774.079205762,
CZE,HHEXP,TOT,MLN_USD,A,2015,153735.938138515,
CZE,HHEXP,TOT,MLN_USD,A,2016,163421.080429312,
CZE,HHEXP,TOT,MLN_USD,A,2017,173772.969183593,
CZE,HHEXP,TOT,MLN_USD,A,2018,183353.431293166,
CZE,HHEXP,TOT,MLN_USD,A,2019,194992.042289678,
CZE,HHEXP,TOT,MLN_USD,A,2020,176773.067911911,
CZE,HHEXP,TOT,MLN_USD,A,2021,186728.89165184,
DEU,HHEXP,TOT,MLN_USD,A,2011,1763719.47208286,
